,Strassenklasse,Unfalldatum,Alter,Unfallklasse,Unfallschwere,Lichtverhältnisse,Verletzte Personen,Anzahl Fahrzeuge,Bodenbeschaffenheit,Geschlecht,Zeit (24h),Fahrzeugtyp,Wetterlage
36,nicht klassifiziert,9. Jul.,18,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,3,1,trocken,weiblich,2330,Auto,Gut
37,nicht klassifiziert,17-May-12,19,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1445,Mottorrad (50cc),Gut
38,Bundesstrasse,9. Okt.,57,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,trocken,weiblich,713,Auto,Gut
39,Bundesstrasse,01-Mar-11,34,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1000,Auto,Gut
40,Bundesstrasse,5. Jun.,81,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1307,Auto,Gut
41,nicht klassifiziert,27. Apr.,69,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,3,2,nass / feucht,weiblich,1020,Auto,Regen
42,Bundesstrasse,23. Aug.,14,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,8,2,trocken,weiblich,45,Auto,Gut
43,Bundesstrasse,01-Oct-10,58,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,4,2,nass / feucht,männlich,1725,Auto,Regen
44,nicht klassifiziert,13. Aug.,77,Passagier,2,Tageslicht: Strassenbeleuchtung vorhanden,3,2,trocken,weiblich,1610,Auto,Gut
45,Bundesstrasse,27. Jul.,29,Fussgänger,2,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,nass / feucht,männlich,54,Auto,Regen
46,nicht klassifiziert,18. Aug.,18,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1600,Mottorrad (125cc),Gut
47,nicht klassifiziert,17-May-12,41,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1040,Taxi,Gut
48,Bundesstrasse,20-Oct-12,44,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,830,Auto,Gut
49,nicht klassifiziert,10. Apr.,50,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,3,trocken,männlich,810,Mottorrad (500cc),Gut
50,nicht klassifiziert,25. Jul.,51,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,935,Fahrrad,Gut
51,Bundesstrasse,23. Mai.,21,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,904,Fahrrad,Gut
52,Landesstrasse,4. Dez.,47,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,trocken,männlich,1933,Fahrrad,Gut
53,nicht klassifiziert,31-Dec-12,32,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,2,trocken,männlich,2335,Auto,Gut
54,Bundesstrasse,23. Sep.,34,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1630,Fahrrad,Gut
55,Bundesstrasse,3. Jun.,24,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1740,Auto,Gut
56,Autobahn,24-Dec-09,24,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,Schnee,männlich,702,Auto,Schnee
57,nicht klassifiziert,5. Nov.,6,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,5,3,nass / feucht,männlich,1840,Auto,Gut
58,nicht klassifiziert,20-May-09,36,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,nass / feucht,männlich,2220,Transporter,Regen (starker Wind)
59,nicht klassifiziert,14. Mai.,17,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,5,2,trocken,männlich,2010,Auto,Unbekannt
60,Bundesstrasse,30-Dec-10,40,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,3,nass / feucht,weiblich,848,Auto,Gut
61,Bundesstrasse,14. Jun.,50,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,3,4,trocken,weiblich,1209,Auto,Gut
62,Bundesstrasse,2. Mai.,23,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1753,Auto,Gut
63,nicht klassifiziert,17. Feb.,17,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,trocken,männlich,2058,Bus,Gut
64,nicht klassifiziert,24. Jun.,27,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,600,Auto,Gut
65,Bundesstrasse,22. Jul.,65,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,1,trocken,weiblich,1100,Bus,Gut
66,Bundesstrasse,31. Jul.,21,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,11,2,trocken,männlich,1940,Bus,Gut
67,Bundesstrasse,28-Oct-09,33,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,3,4,nass / feucht,weiblich,730,Auto,Gut
68,Bundesstrasse,26. Okt.,17,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,7,2,trocken,männlich,29,Auto,Gut
69,nicht klassifiziert,29. Jun.,9,Passagier,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,1,trocken,weiblich,1915,Taxi,Gut
70,nicht klassifiziert,31. Okt.,9,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1300,Auto,Gut
71,nicht klassifiziert,05-Oct-11,79,Fussgänger,3,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1335,Auto,Gut
72,nicht klassifiziert,10. Nov.,24,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,trocken,männlich,1720,Auto,Gut
73,nicht klassifiziert,21. Sep.,40,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,3,3,trocken,weiblich,910,Auto,Gut
74,nicht klassifiziert,7. Dez.,12,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,männlich,1115,Fahrrad,Gut
75,Bundesstrasse,11. Jan.,44,Passagier,2,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,1,nass / feucht,weiblich,210,Auto,Gut
76,Bundesstrasse,8. Dez.,18,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,nass / feucht,männlich,1100,Auto,Gut
77,Bundesstrasse,06-Mar-12,40,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,3,2,trocken,männlich,2035,Auto,Gut
78,Bundesstrasse,3. Aug.,25,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1400,Taxi,Gut
79,nicht klassifiziert,18. Jan.,27,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,1,Schnee,männlich,2100,Auto,Schnee
80,Landesstrasse,7. Jul.,71,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1250,Auto,Gut
81,nicht klassifiziert,12. Jun.,7,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,3,2,trocken,weiblich,1710,Auto,Gut
82,Bundesstrasse,01-May-10,57,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,815,Auto,Gut
83,nicht klassifiziert,27-Dec-12,27,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1138,Auto,Gut
84,nicht klassifiziert,30. Jan.,51,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1530,Auto,Gut
85,nicht klassifiziert,04-Mar-09,14,Fussgänger,2,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1515,Auto,Gut
86,Bundesstrasse,23. Jun.,26,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,2,trocken,männlich,2330,Auto,Gut
87,nicht klassifiziert,25. Apr.,38,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,2,nass / feucht,männlich,1715,Auto,Regen
88,nicht klassifiziert,1. Jun.,16,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1420,Fahrrad,Gut
89,nicht klassifiziert,6. Apr.,48,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,2,trocken,männlich,2000,Auto,Gut
90,nicht klassifiziert,27. Apr.,1,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1530,Auto,Gut
91,nicht klassifiziert,25. Jan.,24,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,trocken,männlich,1700,Mottorrad (50cc),Gut
92,Bundesstrasse,11. Feb.,31,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,männlich,930,Auto,Gut
93,nicht klassifiziert,10. Nov.,25,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,3,2,nass / feucht,weiblich,1943,Auto,Gut
94,nicht klassifiziert,04-Dec-09,50,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1126,Bus,Gut
95,nicht klassifiziert,04-Mar-10,29,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,3,2,trocken,männlich,2300,Taxi,Gut
96,nicht klassifiziert,28. Mai.,31,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,2,2,trocken,weiblich,1930,Auto,Gut
97,Kraftfahrzeugstrasse,28. Sep.,58,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,4,6,trocken,weiblich,841,Auto,Gut
98,Bundesstrasse,5. Aug.,46,Fahrer,2,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,trocken,männlich,2330,Mottorrad (500cc),Gut
99,Autobahn,23. Mai.,46,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,nass / feucht,männlich,1104,Auto,Gut
100,nicht klassifiziert,22. Apr.,18,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,3,2,trocken,weiblich,1715,Taxi,Gut
101,Bundesstrasse,24. Nov.,27,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,nass / feucht,weiblich,1105,Auto,Gut
102,nicht klassifiziert,1. Feb.,32,Fussgänger,2,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1448,Bus,Gut
103,nicht klassifiziert,17. Okt.,13,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,nass / feucht,weiblich,1520,Auto,Gut
104,Bundesstrasse,15. Jul.,17,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1420,Mottorrad (500cc),Gut
105,nicht klassifiziert,4. Mai.,67,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,2,2,trocken,männlich,1741,Auto,Gut
106,Bundesstrasse,8. Feb.,23,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1130,Auto,Gut
107,nicht klassifiziert,01-Dec-09,35,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,nass / feucht,weiblich,1750,Auto,Gut (starker Wind)
108,Bundesstrasse,23. Sep.,38,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,752,Fahrrad,Gut
109,Bundesstrasse,17. Jul.,18,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,3,2,trocken,männlich,1534,Auto,Gut
110,Bundesstrasse,9. Nov.,35,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,4,2,nass / feucht,männlich,1940,Auto,Gut
111,nicht klassifiziert,19-Dec-09,40,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,2,2,Frost / Eis,männlich,700,Bus,Gut
112,Landesstrasse,11. Aug.,21,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,4,2,trocken,männlich,720,Auto,Gut
113,Bundesstrasse,3. Dez.,43,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1320,Auto,Gut
114,Bundesstrasse,11-Mar-10,35,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1720,Auto,Gut
115,Bundesstrasse,26. Dez.,24,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1245,Auto,Gut
116,Bundesstrasse,29. Aug.,14,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,5,3,trocken,männlich,1110,Auto,Gut
117,Bundesstrasse,4. Sep.,54,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1745,Fahrrad,Gut
118,nicht klassifiziert,14-Oct-09,18,Fahrer,1,Dunkelheit: keine Strassenbeleuchtung,2,1,nass / feucht,männlich,2220,Auto,Regen
119,Bundesstrasse,17-Oct-12,31,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,2,4,trocken,weiblich,1800,Auto,Gut
120,nicht klassifiziert,8. Okt.,29,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,nass / feucht,weiblich,829,Auto,Gut
121,Bundesstrasse,1. Feb.,47,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,männlich,810,Auto,Schnee (starker Wind)
122,nicht klassifiziert,13. Okt.,34,Passagier,2,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,trocken,männlich,143,Auto,Gut
123,nicht klassifiziert,31. Jul.,39,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,930,Bus,Gut
124,nicht klassifiziert,9. Aug.,38,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,800,Fahrrad,Gut
125,nicht klassifiziert,9. Jun.,58,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,männlich,1248,Auto,Andere
126,Autobahn,5. Mrz.,36,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1609,Auto,Gut
127,Bundesstrasse,20. Jul.,28,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1200,Auto,Gut
128,nicht klassifiziert,28. Jun.,42,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1720,Auto,Gut
129,nicht klassifiziert,17. Jul.,26,Fahrer,1,Dunkelheit: keine Strassenbeleuchtung,4,1,trocken,weiblich,2356,Kleinbus,Gut
130,Bundesstrasse,16-Dec-11,27,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,nass / feucht,männlich,1920,Auto,Regen
131,nicht klassifiziert,17. Sep.,29,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,2,trocken,männlich,2100,Auto,Gut
132,Landesstrasse,28. Sep.,49,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,nass / feucht,männlich,647,Taxi,Gut
133,nicht klassifiziert,19. Aug.,25,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1710,Fahrrad,Gut
134,Bundesstrasse,23. Jul.,29,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,männlich,713,Fahrrad,Regen
135,nicht klassifiziert,26. Sep.,46,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,3,nass / feucht,männlich,838,Transporter,Regen
136,Bundesstrasse,18. Feb.,32,Fussgänger,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,nass / feucht,weiblich,2115,Auto,Regen
137,Bundesstrasse,27-Mar-12,28,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,2,2,trocken,weiblich,730,Auto,Gut
138,nicht klassifiziert,9. Sep.,20,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,trocken,männlich,2005,Mottorrad (50cc),Gut
139,nicht klassifiziert,5. Mai.,16,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1705,Fahrrad,Gut
140,Bundesstrasse,14. Sep.,27,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1835,Fahrrad,Gut
141,nicht klassifiziert,19. Jan.,30,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,nass / feucht,weiblich,1230,Bus,Gut
142,Bundesstrasse,15. Apr.,31,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1505,Auto,Gut
143,nicht klassifiziert,13-Oct-11,14,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,815,Auto,Gut
144,Bundesstrasse,30-May-09,18,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,2,trocken,männlich,145,Auto,Gut
145,Autobahn,27. Sep.,34,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1511,Auto,Gut
146,nicht klassifiziert,14. Mai.,25,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,3,trocken,weiblich,1225,Auto,Gut
147,nicht klassifiziert,27-May-10,20,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,2,trocken,männlich,2315,Mottorrad (50cc),Gut
148,nicht klassifiziert,03-Oct-12,76,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,2,2,trocken,männlich,2105,Auto,Gut
149,nicht klassifiziert,9. Feb.,34,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,Frost / Eis,weiblich,725,Auto,Gut
150,nicht klassifiziert,10. Jan.,42,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,4,2,trocken,männlich,2310,Auto,Gut
151,nicht klassifiziert,18. Nov.,30,Fahrer,2,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,3,trocken,männlich,1935,Mottorrad (50cc),Gut
152,nicht klassifiziert,29. Jun.,22,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,3,trocken,männlich,1335,Auto,Gut
153,nicht klassifiziert,10. Aug.,20,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1444,Mottorrad,Gut
154,nicht klassifiziert,1. Jun.,31,Fussgänger,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,trocken,männlich,131,Auto,Gut
155,Bundesstrasse,10. Jul.,20,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1330,Auto,Gut
156,Bundesstrasse,19. Apr.,33,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,830,Auto,Gut
157,nicht klassifiziert,19. Sep.,24,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,7,2,nass / feucht,männlich,245,Auto,Gut
158,Bundesstrasse,29. Sep.,44,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,männlich,1145,Bus,Regen
159,nicht klassifiziert,7. Apr.,12,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1425,Auto,Gut
160,Bundesstrasse,14-Mar-10,54,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,3,trocken,männlich,1200,Auto,Gut
161,Bundesstrasse,28. Feb.,42,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,5,2,trocken,männlich,1235,Auto,Gut
162,Bundesstrasse,4. Apr.,46,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1520,Mottorrad (500cc),Gut
163,nicht klassifiziert,16. Jul.,16,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,3,trocken,männlich,2110,Auto,Gut
164,Landesstrasse,22. Mai.,60,Fussgänger,2,Tageslicht: Strassenbeleuchtung vorhanden,1,1,nass / feucht,weiblich,1743,Auto,Regen
165,nicht klassifiziert,26. Jul.,48,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,920,Fahrrad,Gut
166,Kraftfahrzeugstrasse,5. Jan.,25,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,3,nass / feucht,weiblich,1725,Auto,Gut
167,Bundesstrasse,26. Dez.,24,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,trocken,weiblich,150,Transporter,Gut
168,nicht klassifiziert,19. Sep.,75,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,4,4,nass / feucht,weiblich,1120,Auto,Gut
169,Bundesstrasse,3. Aug.,42,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,3,2,trocken,weiblich,1315,Auto,Gut
170,nicht klassifiziert,26. Nov.,39,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1140,Auto,Gut
171,Bundesstrasse,1. Nov.,20,Fussgänger,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,trocken,männlich,115,Taxi,Gut
172,Bundesstrasse,14. Sep.,26,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,3,nass / feucht,weiblich,805,Auto,Regen
